Author,RFC_Match_Count
M. Davenport,1
P. Bose,2
S. Thomson,1
T. Jinmei,1
E. Klein,1
G. Van de Velde,8
G. White,3
W. Haddad,2
A. Lakaniemi,1
J. Sjoberg,1
S. Frankel,2
L. Law,2
M. Delany,4
E. Allman,3
M. Libbey,1
D. Papadimitriou,15
J.P. Lang,1
I. Bryskin,7
CY. Lee,1
S. De Cnodder,2
S. Yasukawa,6
B. Neal-Joslin,1
L. Howard,6
M. Ansari,5
V. Devarapalli,15
M. Squire,1
D. Shaw,3
A. Korn,1
G. Feher,1
I. Cselenyi,1
K. Nemeth,1
H-Y. Lach,1
T. Ernst,5
P. Thubert,22
R. Wakikawa,8
C. Ng,3
F. Zhao,3
M. Watari,2
J. Mohacsi,2
D. Conrad,4
S. Woolf,1
Q. Vohra,2
A. Surtees,1
A.B. Roach,13
M. West,4
R. Raghunarayan,1
J. Ash,2
J. Hand,1
V. Gurbani,16
H. Esaki,1
H. Ohnishi,1
K. Nagami,3
N. Ogashiwa,1
S. Uda,1
D. Castleford,1
F. Hartung,1
D. Prager,1
P. Pillay-Esnault,5
P. Psenak,11
S. Mirtorabi,4
V. Sastry,1
C. Schumacher,1
N. Kushalnagar,2
A. Iwata,1
A. Satyanarayana,3
G. Ash,4
N. Fujita,1
D. Ward,28
X. Li,13
M. Molina,2
T. Kalin,1
J.-L. Le Roux,1
S. Bryant,39
C. DeSanti,4
H.K. Vivek,3
S. Gai,4
B. Berry,3
H. Holgate,1
S. Krishnan,37
J. Paugh,1
S. Roy,1
D. Culler,2
J. Hui,8
J. Snell,7
M. Montpetit,2
V. Jain,1
Y. Ko,2
R. Siemborski,3
D. Blacka,5
A. Yegin,14
E. Njedjou,1
N. Montavont,3
S. Veerepalli,1
D. Wing,31
B. Chandler,1
A. Allen,4
J. Holm,2
T. Hallin,1
C. Aoun,3
S. Madanapalli,8
A. Lindem,27
N. Shen,10
S. Shaffer,2
JL. Leroux,1
P. Mabbey,1
S. Previdi,37
P. Joseph,1
G. Tsirtsis,7
E. Paik,1
M. Bagnulo,18
J. Risson,1
T. Moors,1
H. Eland,1
R. Mundy,1
S. Krishnaswamy,3
W. Eddy,6
K. Shiomoto,6
R. Papneja,6
R. Rabbat,3
J. Brzozowski,5
S. Zeng,2
R. Finking,1
T. Gondrom,3
RFC Editor,2
F. Balus,6
J. Sugimoto,1
M. Nottingham,23
J. Jeong,5
L. Beloeil,3
R. Ejza,1
M. Normoyle,1
M. StJohns,2
R. Marshall,3
T. Baker,1
S. Chakrabarti,7
I. Kouvelas,5
T. Speakman,1
D. McWalter,5
A. Deacon,1
R. Hurst,3
B. de hOra,1
J. Gregorio,2
I. Friend,1
A. Lior,6
K. Chowdhury,10
M. Nakhjiri,5
A. Menon-Sen,2
I. Minei,16
B. Metzler,1
D. Garcia,1
J. Hilland,1
P. Culley,3
R. Recio,3
H. Shah,12
J. Pinkerton,2
E. Deleganes,1
C. Bestler,4
J. Carrier,1
U. Elzur,3
M. Ko,3
P. Thaler,2
M. Crispin,2
A. Shokrollahi,2
D. Taylor,1
N. Mavrogiannopoulos,5
T. Perrin,1
D. Cooper,3
R. Boivie,1
W. Livens,1
Y. Imai,1
A. Gall,1
J. Lingard,3
N. Bhaskar,1
A. Kessler,3
B. Joshi,6
R. Sivaramu,1
M. Kozuka,1
S. Maruyama,1
R. Rahman,4
D. McPherson,17
P. Traina,1
P. Pfautz,2
S. Lind,1
C. Hutzler,1
T. Finch,2
M. Shanmugam,1
J. Meijer,1
R. Danyliw,3
Y. Demchenko,1
D. Hankins,3
D. Haskins,1
E. Allen,1
S. Varada,2
J.P. Vasseur,1
R. Hinden,12
A. DeKok,11
J. Heasley,2
V. Gill,1
A. Vainshtein,5
E. Metz,1
I. Sasson,1
T. Frost,2
M. Anavi,1
R. Insler,1
R. Shashoua,1
Y(J). Stein,3
JL. Le Roux,16
B. Sterman,1
D. Sadolevsky,1
D. Schwartz,2
D. Williams,1
W. Beck,1
L. Martin,3
X. Boyen,1
G. Hunt,2
G. Neville-Neil,1
G. Renker,2
G. Beacham,1
S. Channabasappa,5
B. Claise,33
J. Meyer,1
P. Aitken,14
B. Trammell,20
E. Boschi,7
B. Burman,7
U. Chandra,1
O. Lendl,2
A. Pashalidis,1
Y. Ohba,10
F. Bari,2
M. Lepinski,7
P. O\'Hanlon,2
C. Boulton,8
T. Edwards,2
N. Sheth,4
T. Przygienda,8
B. Sarikaya,10
F. Xia,6
B. Akyol,1
R. White,9
B. Ford,4
D. Kegel,1
J. Tay,1
C. Martin,1
M. Shand,12
K. Morneault,1
T. Eckert,10
J. Ishac,1
P. Chimento,2
S. Cox,1
J. Winterbottom,13
M. Thomson,35
D.N. Shah,1
H. Salama,1
M. Bangalore,1
H. Apel,1
J. Goodwin,1
B. Haley,2
H. Deng,8
J. Shirron,1
S. Vogelsang,1
K. Kumaki,10
E. Wilde,11
B. Adamson,6
