RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
1184,Telnet Linemode Option,D.A. Borman,October 1990,DRAFT STANDARD,IETF,app,telnet
1188,Proposed Standard for the Transmission of IP Datagrams over FDDI Networks,D. Katz,October 1990,DRAFT STANDARD,IETF,int,fddi
1190,Experimental Internet Stream Protocol: Version 2 (ST-II),C. Topolcic,October 1990,EXPERIMENTAL,IETF,int,cip
1192,Commercialization of the Internet summary report,B. Kahin,November 1990,INFORMATIONAL,Legacy,,
1193,Client requirements for real-time communication services,D. Ferrari,November 1990,INFORMATIONAL,Legacy,,
1206,"FYI on Questions and Answers: Answers to commonly asked ""new Internet user"" questions","A.N. Marine,G.S. Malkin",February 1991,INFORMATIONAL,Legacy,,
1209,The Transmission of IP Datagrams over the SMDS Service,"D. Piscitello,J. Lawrence",March 1991,INTERNET STANDARD,IETF,int,smds
1211,Problems with the maintenance of large mailing lists,"A. Westine,J. Postel",March 1991,INFORMATIONAL,Legacy,,
1216,Gigabit network economics and paradigm shifts,"P. Kynikos,P. Richard",1 April 1991,INFORMATIONAL,Legacy,,
1244,Site Security Handbook,"J.K. Reynolds,J.P. Holbrook",July 1991,INFORMATIONAL,Legacy,,
1245,OSPF Protocol Analysis,J. Moy,July 1991,INFORMATIONAL,IETF,rtg,ospf
1246,Experience with the OSPF Protocol,J. Moy,July 1991,INFORMATIONAL,IETF,rtg,ospf
1247,OSPF Version 2,J. Moy,July 1991,DRAFT STANDARD,IETF,rtg,ospf
1251,"Who\'s Who in the Internet: Biographies of IAB, IESG and IRSG Members",G. Malkin,August 1991,INFORMATIONAL,Legacy,,
1254,Gateway Congestion Control Survey,"A. Mankin,K. Ramakrishnan",August 1991,INFORMATIONAL,IETF,int,pcc
1259,Building the open road: The NREN as test-bed for the national public network,M. Kapor,September 1991,INFORMATIONAL,Legacy,,
1271,Remote Network Monitoring Management Information Base,S. Waldbusser,November 1991,PROPOSED STANDARD,IETF,ops,rmonmib
1272,Internet Accounting: Background,"C. Mills,D. Hirsh,G.R. Ruth",November 1991,INFORMATIONAL,IETF,,acct
1273,"Measurement Study of Changes in Service-Level Reachability in the Global TCP/IP Internet: Goals, Experimental Design, Implementation, and Policy Considerations",M.F. Schwartz,November 1991,INFORMATIONAL,Legacy,,
1274,The COSINE and Internet X.500 Schema,"P. Barker,S. Kille",November 1991,PROPOSED STANDARD,IETF,app,osids
1280,IAB Official Protocol Standards,J. Postel,March 1992,HISTORIC,Legacy,,
1281,Guidelines for the Secure Operation of the Internet,"B. Fraser,R. Pethia,S. Crocker",November 1991,INFORMATIONAL,IETF,sec,spwg
1287,Towards the Future Internet Architecture,"D. Clark,L. Chapin,R. Braden,R. Hobby,V. Cerf",December 1991,INFORMATIONAL,Legacy,,
1290,There\'s Gold in them thar Networks! or Searching for Treasure in all the Wrong Places,J. Martin,December 1991,INFORMATIONAL,Legacy,,
1297,"NOC Internal Integrated Trouble Ticket System Functional Specification Wishlist (""NOC TT REQUIREMENTS"")",D. Johnson,January 1992,INFORMATIONAL,IETF,,ucp
1299,Summary of 1200-1299,M. Kennedy,January 1997,INFORMATIONAL,Legacy,,
1305,"Network Time Protocol (Version 3) Specification, Implementation and Analysis",D. Mills,March 1992,DRAFT STANDARD,Legacy,,
1306,Experiences Supporting By-Request Circuit-Switched T3 Networks,"A. Nicholson,J. Young",March 1992,INFORMATIONAL,Legacy,,
1322,A Unified Approach to Inter-Domain Routing,"D. Estrin,S. Hotz,Y. Rekhter",May 1992,INFORMATIONAL,IETF,rtg,bgp
1324,A Discussion on Computer Network Conferencing,D. Reed,May 1992,INFORMATIONAL,Legacy,,
1325,"FYI on Questions and Answers Answers to Commonly asked ""New Internet User"" Questions","A. Marine,G. Malkin",May 1992,INFORMATIONAL,Legacy,,
1327,Mapping between X.400(1988) / ISO 10021 and RFC 822,S. Hardcastle-Kille,May 1992,PROPOSED STANDARD,Legacy,,
1330,Recommendations for the Phase I Deployment of OSI Directory Services (X.500) and OSI Message Handling Services (X.400) within the ESNET Community,"ESCC X.500/X.400 Task Force,ESnet Site Coordinating Comittee (ESCC),Energy Sciences Network (ESnet)",May 1992,INFORMATIONAL,Legacy,,
1331,The Point-to-Point Protocol (PPP) for the Transmission of Multi-protocol Datagrams over Point-to-Point Links,W. Simpson,May 1992,PROPOSED STANDARD,IETF,int,pppext
1336,"Who\'s Who in the Internet: Biographies of IAB, IESG and IRSG Members",G. Malkin,May 1992,INFORMATIONAL,Legacy,,
1340,Assigned Numbers,"J. Postel,J. Reynolds",July 1992,HISTORIC,Legacy,,
1341,MIME (Multipurpose Internet Mail Extensions): Mechanisms for Specifying and Describing the Format of Internet Message Bodies,"N. Borenstein,N. Freed",June 1992,PROPOSED STANDARD,IETF,app,822ext
1345,Character Mnemonics and Character Sets,K. Simonsen,June 1992,INFORMATIONAL,IETF,app,822ext
